scheme_code,scheme_name,date,nav
100477,Taurus Mid Cap Fund - Regular Plan - Growth,28-10-2025,124.53000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,27-10-2025,124.73000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,24-10-2025,123.96000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,23-10-2025,123.98000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,20-10-2025,122.90000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,17-10-2025,121.92000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,16-10-2025,122.51000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,15-10-2025,122.06000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,14-10-2025,120.93000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,13-10-2025,122.16000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,10-10-2025,122.93000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,09-10-2025,122.25000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,08-10-2025,121.47000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,07-10-2025,121.66000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,06-10-2025,121.38000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,03-10-2025,121.37000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,01-10-2025,120.57000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,30-09-2025,119.60000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,26-09-2025,118.94000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,25-09-2025,121.16000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,24-09-2025,122.12000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,23-09-2025,123.49000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,22-09-2025,123.64000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,19-09-2025,124.60000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,18-09-2025,124.66000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,17-09-2025,124.28000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,16-09-2025,124.10000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,15-09-2025,123.57000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,12-09-2025,122.86000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,11-09-2025,123.13000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,10-09-2025,122.71000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,09-09-2025,121.81000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,08-09-2025,121.76000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,05-09-2025,120.90000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,04-09-2025,120.84000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,03-09-2025,121.38000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,02-09-2025,120.78000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,01-09-2025,120.74000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,29-08-2025,119.23000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,28-08-2025,119.32000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,26-08-2025,120.27000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,25-08-2025,121.92000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,22-08-2025,122.11000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,21-08-2025,122.57000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,20-08-2025,122.73000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,19-08-2025,121.06000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,18-08-2025,119.52000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,14-08-2025,118.22000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,13-08-2025,118.60000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,12-08-2025,118.09000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,11-08-2025,118.41000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,08-08-2025,118.11000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,07-08-2025,119.47000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,06-08-2025,119.20000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,05-08-2025,120.48000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,04-08-2025,120.91000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,01-08-2025,119.21000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,31-07-2025,121.12000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,30-07-2025,122.07000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,29-07-2025,121.93000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,28-07-2025,121.23000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,25-07-2025,122.20000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,24-07-2025,124.24000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,23-07-2025,124.88000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,22-07-2025,124.63000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,21-07-2025,125.43000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,18-07-2025,125.25000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,17-07-2025,125.63000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,16-07-2025,125.70000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,15-07-2025,125.64000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,14-07-2025,125.17000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,11-07-2025,124.45000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,10-07-2025,125.27000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,09-07-2025,125.67000
100477,Taurus Mid Cap Fund - Regular Plan - Growth,08-07-2025,125.52000
